Class,Class Number,Class Section,Class Section-B,Class Time,Class Room,Class Instructor,Rating
ACC 2101,43595,JWF-REC,Regular,Fr 09:40 - 10:30,B - Vert 6-140,Daeun Lee,5.0
ACC 2101,43596,JWG-REC,Regular,Fr 10:40 - 11:30,B - Vert 6-118,Ying Liang,No Rating
ACC 2101,43598,JWI-REC,Regular,Fr 10:40 - 11:30,B - Vert 6-119,Sunqian Ren,No Rating
ACC 2101,43599,JWJ-REC,Regular,Fr 10:40 - 11:30,B - Vert 6-140,Daeun Lee,5.0
ACC 2101,43600,JWK-REC,Regular,Fr 10:40 - 11:30,B - Vert 6-175,Zhiyuan Tu,No Rating
ACC 2101,43601,JWL-REC,Regular,Fr 11:40 - 12:30,B - Vert 6-118,Sunqian Ren,No Rating
ACC 2101,43602,JWM-REC,Regular,Fr 11:40 - 12:30,B - Vert 6-119,Zhiyuan Tu,No Rating
ACC 2101,43605,JWN-REC,Regular,Fr 11:40 - 12:30,B - Vert 6-140,Daeun Lee,5.0
ACC 2101,43608,JWO-REC,Regular,Fr 12:40 - 13:30,B - Vert 6-118,Staff,No Rating
ACC 2101,74888,KMWA-LEC,Regular,MoWe 14:55 - 16:35,A - 17 Lex 1202,Harry Davis,4.5
ACC 2101,44071,OSA-LEC,Regular,Sa 09:05 - 12:50,B - Vert 3-125,Iralma Pozo,1.57
ACC 2101,44074,OSB-LEC,Regular,Sa 09:05 - 12:50,B - Vert 9-150,Anthony Tinker,No Rating
ACC 2101,73567,OUA-LEC,Regular,Su 09:05 - 12:50,B - Vert 5-165,Craig Goodman,0.0
ACC 2101,55522,OWSA-LEC,Regular,Sa 09:05 - 14:00,B - Vert 9-116,Ronyhel Peguero,No Rating
ACC 2101,44077,TTRA-LEC,Regular,TuTh 19:45 - 21:25,B - Vert 10-155,James Miglino,2.28
ACC 2203,44039,DT-LEC,Regular,Tu 12:50 - 14:05,B - Vert 5-150,Mehmet Ozbilgin,3.9
ACC 2203,43613,DTA-REC,Regular,Th 09:00 - 09:50,A - 17 Lex 1402,Jing Dai,2.5
ACC 2203,43614,DTB-REC,Regular,Th 09:00 - 09:50,A - 17 Lex 1403,Kathleen Bakarich,No Rating
ACC 2203,43615,DTC-REC,Regular,Th 09:00 - 09:50,A - 17 Lex 1405,Edison Blanco,No Rating
ACC 2203,43617,DTE-REC,Regular,Th 10:00 - 10:50,A - 17 Lex 1402,Jing Dai,2.5
ACC 2203,43632,DTF-REC,Regular,Th 10:00 - 10:50,A - 17 Lex 1403,Kathleen Bakarich,No Rating
ACC 2203,43635,DTG-REC,Regular,Th 10:00 - 10:50,A - 17 Lex 1405,Edison Blanco,No Rating
ACC 2203,43641,DTI-REC,Regular,Th 10:00 - 10:50,A - 17 Lex 1307,Nicole Heron,4.81
ACC 2203,43969,DTJ-REC,Regular,Th 11:00 - 11:50,A - 17 Lex 1402,Jing Dai,2.5
ACC 2203,43973,DTK-REC,Regular,Th 11:00 - 11:50,A - 17 Lex 1403,Kathleen Bakarich,No Rating
ACC 2203,43974,DTL-REC,Regular,Th 11:00 - 11:50,A - 17 Lex 1405,Edison Blanco,No Rating
ACC 2203,43976,DTM-REC,Regular,Th 11:00 - 11:50,A - 17 Lex 1307,Nicole Heron,4.81
ACC 2203,43977,DTN-REC,Regular,Th 15:00 - 15:50,A - 17 Lex 1402,Jing Dai,2.5
ACC 2203,43978,DTO-REC,Regular,Th 15:00 - 15:50,A - 17 Lex 1403,Kathleen Bakarich,No Rating
ACC 2203,44043,EM-LEC,Regular,Mo 14:30 - 15:45,B - Vert 5-150,Mehmet Ozbilgin,3.9
ACC 2203,43979,EMA-REC,Regular,We 18:10 - 19:00,A - 17 Lex 1402,Todd Hyman,No Rating
ACC 2203,43982,EMB-REC,Regular,We 18:10 - 19:00,A - 17 Lex 1403,Binghao Zhao,No Rating
ACC 2203,43986,EMC-REC,Regular,We 18:10 - 19:00,A - 17 Lex 1405,Alan Swersky,No Rating
ACC 2203,43988,EMD-REC,Regular,We 18:10 - 19:00,A - 17 Lex 1307,Nicole Heron,4.81
ACC 2203,43989,EME-REC,Regular,We 18:10 - 19:00,A - 17 Lex 1206,Erle Zoll III,No Rating
ACC 2203,43998,EMF-REC,Regular,We 19:10 - 20:00,A - 17 Lex 1402,Todd Hyman,No Rating
ACC 2203,44000,EMG-REC,Regular,We 19:10 - 20:00,A - 17 Lex 1403,Binghao Zhao,No Rating
ACC 2203,44001,EMI-REC,Regular,We 19:10 - 20:00,A - 17 Lex 1405,Alan Swersky,No Rating
ACC 2203,44003,EMJ-REC,Regular,We 19:10 - 20:00,A - 17 Lex 1307,Nicole Heron,4.81
ACC 2203,44004,EMK-REC,Regular,We 19:10 - 20:00,A - 17 Lex 1206,Erle Zoll III,No Rating
ACC 2203,44009,EML-REC,Regular,We 20:10 - 21:00,A - 17 Lex 1402,Todd Hyman,No Rating
ACC 2203,44010,EMM-REC,Regular,We 20:10 - 21:00,A - 17 Lex 1403,Binghao Zhao,No Rating
ACC 2203,44012,EMN-REC,Regular,We 20:10 - 21:00,A - 17 Lex 1405,Alan Swersky,No Rating
ACC 2203,44014,EMO-REC,Regular,We 20:10 - 21:00,A - 17 Lex 1206,Erle Zoll III,No Rating
ACC 2203,65524,NETA-LEC,Regular,TBA,TBA,Mehmet Ozbilgin,3.9
ACC 3000,43811,HMWA-LEC,Regular,MoWe 09:55 - 11:35,B - Vert 11-150,Joseph Soldano,3.0
ACC 3000,43813,HTRA-LEC,Regular,TuTh 09:55 - 11:35,B - Vert 11-150,Ting Chen,2.0
ACC 3000,43812,JMWA-LEC,Regular,MoWe 12:25 - 14:05,B - Vert 7-150,Min Shen,3.8
ACC 3000,58333,KTRA-LEC,Regular,TuTh 14:55 - 16:35,A - 17 Lex 5SO,Ting Chen,2.0
ACC 3000,43816,TTRA-LEC,Regular,TuTh 19:45 - 21:25,B - Vert 11-150,Nicholas Bhoj,No Rating
ACC 3000,77876,WSA-LEC,Regular,Sa 13:15 - 17:00,B - Vert 10-155,Margaret Ann Wood,No Rating
ACC 3100,43820,GMWA-LEC,Regular,MoWe 07:50 - 09:30,B - Vert 11-150,Zhen Deng,2.45
ACC 3100,43821,GTRA-LEC,Regular,TuTh 07:50 - 09:30,B - Vert 11-150,Ira Weissman,2.3
ACC 3100,56356,HTRA-LEC,Regular,TuTh 09:55 - 11:35,A - 17 Lex 4NO,Hagit Levy-Shalev,No Rating
ACC 3100,43822,KMWA-LEC,Regular,MoWe 14:55 - 16:35,B - Vert 9-150,Steven Lustgarten,2.13
ACC 3100,44509,OFA-LEC,Regular,Fr 09:05 - 12:50,B - Vert 10-150,Chayim Herskowitz,4.7
ACC 3100,43823,TMWA-LEC,Regular,MoWe 19:45 - 21:25,B - Vert 10-155,Yan Yan,3.5
ACC 3100,43824,TTRA-LEC,Regular,TuTh 19:45 - 21:25,B - Vert 11-155,D Edward Martin,4.03
ACC 3200,43825,HTRA-LEC,Regular,TuTh 09:55 - 11:35,B - Vert 11-155,Kenneth Cappell,5.0
ACC 3200,43829,HTRB-LEC,Regular,TuTh 09:55 - 11:35,B - Vert 12-155,Subprasiri Siriviriyakul,4.5
ACC 3200,43826,KTRA-LEC,Regular,TuTh 14:55 - 16:35,B - Vert 11-155,Subprasiri Siriviriyakul,4.5
ACC 3200,43828,OSA-LEC,Regular,Sa 09:05 - 12:50,B - Vert 11-150,Chen Li,2.4
ACC 3200,43827,OSB-LEC,Regular,Sa 09:05 - 12:50,B - Vert 11-155,Charleston Tom,3.8
ACC 3200,43830,TTRA-LEC,Regular,TuTh 19:45 - 21:25,B - Vert 12-150,Scott Vandevoort,4.5
ACC 3200,43831,TTRB-LEC,Regular,TuTh 19:45 - 21:25,B - Vert 12-155,Shantwina Hicks,No Rating
ACC 3202,56357,HMWA-LEC,Regular,MoWe 09:55 - 11:35,B - Vert 9-155,Rebecca Rosner,2.8
ACC 3202,43832,KTRA-LEC,Regular,TuTh 14:55 - 16:35,A - 17 Lex 4SO,Michael Palley,3.0
ACC 3202,43833,OSA-LEC,Regular,Sa 09:05 - 12:50,B - Vert 10-155,Suvro Banerjee,3.42
ACC 3202,43834,OUA-LEC,Regular,Su 09:05 - 12:50,B - Vert 3-165,Douglas Phipps,3.9
ACC 3202,43835,STRA-LEC,Regular,TuTh 17:40 - 19:20,B - Vert 11-150,Michael Lapelosa,3.7
ACC 3202,44511,TMWA-LEC,Regular,MoWe 19:45 - 21:25,B - Vert 9-150,Stephanie Thomas,2.7
ACC 4100,43841,KMWA-LEC,Regular,MoWe 14:55 - 16:35,B - Vert 10-160,Francine Rothenstein,2.7
ACC 4100,43842,OSA-LEC,Regular,Sa 09:05 - 12:50,B - Vert 11-145,Stanley Chu,3.9
ACC 4100,43843,OSB-LEC,Regular,Sa 09:05 - 12:50,B - Vert 10-145,Mohammad Kamal,No Rating
ACC 4100,58334,STRA-LEC,Regular,TuTh 17:40 - 19:20,B - Vert 10-175,Joseph Chan,3.4
ACC 4100,68013,TTRA-LEC,Regular,TuTh 19:45 - 21:25,B - Vert 10-160,Dolly Rios,No Rating
ACC 4100,76808,VFA-LEC,Regular,Fr 18:05 - 21:50,B - Vert 9-145,William Mccoll,No Rating
ACC 5100,76080,JNWE-LEC,Winter,TBA,TBA,Joseph Weintrop,2.25
ACC 5100,44079,WEIN-LEC,Regular,TBA,TBA,Joseph Weintrop,2.25
ACC 5400,43845,KMWA-LEC,Regular,MoWe 14:55 - 16:35,B - Vert 10-150,Felicity Barton,No Rating
ACC 5400,76806,OUA-LEC,Regular,Su 09:05 - 12:50,B - Vert 7-150,Moshe Levitin,3.5
ACC 5400,43846,TTRA-LEC,Regular,TuTh 19:45 - 21:25,B - Vert 3-160,Arthur Troast,2.77
ACC 5400,43847,WSA-LEC,Regular,Sa 13:15 - 17:00,B - Vert 11-150,Douglas Carmichael,2.8
ACC 9110,43848,PMWA-LEC,Regular,MoWe 17:50 - 19:05,A - 17 Lex 4NO,Jiaxin Liu,2.4
ACC 9110,75871,XHC2-LEC,Regular,TBA,TBA,Kelly DiMaria,5.0
ACC 9112,43849,SMWA-LEC,Regular,MoWe 17:40 - 19:20,B - Vert 7-155,Steven Lilien,2.4
ACC 9125,76363,1MS-LEC,Seven Wk 1,Sa 11:10 - 14:16,B - Vert 7-155,Toshiaki Mitsudome,No Rating
ACC 9313,76157,XHC6-LEC,Regular,TBA,TBA,Joseph Saporito,No Rating
ACC 9804,43851,SMWA-LEC,Regular,MoWe 17:40 - 19:20,B - Vert 7-150,Danielle Di Meglio,No Rating
ACC 9805,43852,SMWA-LEC,Regular,MoWe 17:40 - 19:20,A - 17 Lex 4SO,James Nish,2.1
ACC 9810,56359,UFA-LEC,Regular,Fr 18:05 - 21:00,B - Vert 7-150,Robert Colson,3.6
ACC 9811,43853,STRA-LEC,Regular,TuTh 17:40 - 19:20,B - Vert 5-150,Igor Vaysman,4.3
ACC 9818,43854,PTRA-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 3-165,Michael Palley,3.0
ACC 9821,43855,TMWA-LEC,Regular,MoWe 19:45 - 21:25,B - Vert 3-160,Felicity Barton,No Rating
ACC 9991,78548,1MS-LEC,Seven Wk 1,TBA,TBA,Toshiaki Mitsudome,No Rating
ACC 9991,77779,VAYS-LEC,Regular,TBA,TBA,Igor Vaysman,4.3
ACC 9993,77062,BMW-LEC,Regular,MoWe 09:05 - 10:20,B - Vert 7-150,Marshall Garber,2.0
ACC 9993,44916,QMWA-LEC,Regular,MoWe 19:30 - 20:45,B - Vert 7-155,Thomas Ray,4.83
ACC 9993,56360,QTRA-LEC,Regular,TuTh 19:30 - 20:45,B - Vert 5-160,Roman Matatov,1.64
ANT 1001,43059,ATRA-LEC,Regular,TuTh 07:25 - 08:40,B - Vert 11-165,Cecilia Salvi,No Rating
ANT 1001,43748,BMWA-LEC,Regular,MoWe 09:05 - 10:20,B - Vert 10-130,Vaiva Aglinskas,4.0
ANT 1001,43752,BTRA-LEC,Regular,TuTh 09:05 - 10:20,B - Vert 4-165,Paloma Rodrigo Gonzales,No Rating
ANT 1001,43754,CMWA-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 12-116,Emanuel Moss,No Rating
ANT 1001,43777,CNOW-LEC,Regular,TuTh 16:10 - 17:25,A - 17 Lex 712,Leonidas Vournelis,No Rating
ANT 1001,43051,CTRA-LEC,Regular,TuTh 10:45 - 12:00,B - Vert 3-165,Kenneth Guest,4.4
ANT 1001,43759,DMWA-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 12-155,Melissa Maldonado,No Rating
ANT 1001,43749,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 7-150,Ritchie Savage,4.2
ANT 1001,43763,ETRA-LEC,Regular,TuTh 14:30 - 15:45,B - Vert 3-165,Robin Root,4.2
ANT 1001,43757,FMWA-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 10-145,Liang Wu,No Rating
ANT 1001,43764,FTRA-LEC,Regular,TuTh 16:10 - 17:25,B - Vert 9-130,Kyra Gaunt,2.8
ANT 1001,43766,PTRA-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 10-160,Kyra Gaunt,2.8
ANT 3015,57343,DMWA-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 4-170,Katrin Hansing,2.92
ANT 3015,57164,PTRA-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 9-175,Theodore Henken,No Rating
ANT 3085,57350,CMWA-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 12-145,Katrin Hansing,2.92
ANT 3085,58169,LMSA-LEC,Regular,Sa 09:05 - 12:00,B - Vert 4-180,Regina Bernard,4.5
ANT 3085,44537,UWA-LEC,Regular,We 18:05 - 21:00,B - Vert 7-175,Elan Abrell,No Rating
ANT 3110,43769,UT-LEC,Regular,Tu 18:05 - 21:05,B - Vert 4-214,Carolle Charles,1.81
ANT 3125,57361,CMWA-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 12-135,Angie Beeman,4.8
ANT 3125,57362,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 5-165,Angie Beeman,4.8
ANT 4025H,57369,MTH-LEC,Regular,Tu 10:45 - 13:40,B - Vert 9-175,Michael Plekon,4.82
ANT 4050,57371,BTRA-LEC,Regular,TuTh 09:05 - 10:20,B - Vert 8-135,Joy Floyd,No Rating
ANT 4100,43772,EMWA-LEC,Regular,MoWe 14:30 - 15:45,A - 17 Lex 1203,Vance Puchalski,No Rating
ANT 4110,43773,FTRA-LEC,Regular,TuTh 16:10 - 17:25,B - Vert 4-214,Robin Root,4.2
ARB 1002,42653,BMWA-LEC,Regular,MoWe 09:05 - 10:20,B - Vert 11-165,Mohammed Tkachmita,No Rating
ART 1000,43478,DMWA-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 7-215,Karen Freedman,3.0
ART 1000,43480,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 7-215,Karen Freedman,3.0
ART 1000,54483,JAN4-LEC,Winter,MoTuWeThFr 14:30 - 17:00,B - Vert 7-215,Karen Freedman,3.0
ART 1000,54482,JANE-LEC,Winter,MoTuWeTh 17:50 - 20:58,B - Vert 7-215,Karen Freedman,3.0
ART 1000,43483,MSA-LEC,Regular,Sa 11:10 - 14:05,B - Vert 7-215,Sandra Eisenstein,4.5
ART 1011,43487,FMWA-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 7-210,Jee Kim,3.0
ART 1011,43485,PTRA-LEC,Regular,TuTh 17:50 - 19:05,B - Vert 7-210,Stephanie Huber,4.2
ART 1011,54237,QMWA-LEC,Regular,MoWe 19:30 - 20:45,B - Vert 7-210,Janine DeFeo,4.5
ART 1011,54238,QTRA-LEC,Regular,TuTh 19:30 - 20:45,B - Vert 7-210,Christopher Green,4.8
ART 1012,74770,BMWA-LEC,Regular,MoWe 09:05 - 10:20,B - Vert 7-155,John Maciuika,4.35
ART 1012,43537,CMWA-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 7-155,John Maciuika,4.35
ART 1012,43489,DMWA-LEC,Regular,MoWe 12:50 - 14:05,B - Vert 7-210,Jee Kim,3.0
ART 1012,43491,FMWA-LEC,Regular,MoWe 16:10 - 17:25,B - Vert 7-155,Karen Shelby,4.6
ART 1012,43493,MFA-LEC,Regular,Fr 11:10 - 14:05,B - Vert 7-210,Jee Kim,3.0
ART 2050,43547,HMWA-LEC,Regular,MoWe 10:20 - 12:00,B - Vert 8-165,Katherine Witherell,2.8
ART 2050,43555,OF-LEC,Regular,Fr 09:05 - 12:50,B - Vert 8-165,Suzanne Dell'Orto,4.7
ART 2050,54257,VW-LEC,Regular,We 18:05 - 21:50,B - Vert 8-165,Howard Klein,4.8
ART 2050,43561,WF-LEC,Regular,Fr 13:15 - 17:00,B - Vert 8-165,Zoe Sheehan,3.2
ART 2050,43553,WT-LEC,Regular,Tu 13:15 - 17:00,B - Vert 7-130,Chun Wo Pat,3.1
ART 2056,54258,NR-LEC,Regular,Th 14:30 - 17:25,B - Vert 7-130,Zoe Sheehan,3.2
ART 2060,43577,KMWA-LEC,Regular,MoWe 14:55 - 16:35,B - Vert 7-126,Frances Antmann,No Rating
ART 2060,43576,KTRA-LEC,Regular,TuTh 14:55 - 16:35,B - Vert 7-126,Leonard Sussman,4.3
ART 2060,43578,STRA-LEC,Regular,TuTh 17:40 - 19:20,B - Vert 7-126,Joel Lederer,4.3
ART 3050,43580,JMWA-LEC,Regular,MoWe 12:25 - 14:05,B - Vert 7-130,Thomas Lulevitch,No Rating
ART 3050,44530,VM-LEC,Regular,Mo 18:05 - 21:50,B - Vert 7-130,Sara Seagull,3.2
ART 3055,43581,HTRA-LEC,Regular,TuTh 10:20 - 12:00,B - Vert 7-130,Terry Berkowitz,4.5
ART 3056,43582,NR-LEC,Regular,Th 14:30 - 17:25,B - Vert 8-165,Chun Wo Pat,3.1
ART 3057,43584,UR-LEC,Regular,Th 18:05 - 21:00,B - Vert 8-165,Nicholas Rymer,4.0
ART 3058,43585,HMWA-LEC,Regular,MoWe 10:20 - 12:00,B - Vert 7-130,Howard Klein,4.8
ART 3058,44654,VR-LEC,Regular,Th 18:05 - 21:50,B - Vert 7-130,Katherine Witherell,2.8
ART 3060,43587,HTRA-LEC,Regular,TuTh 09:55 - 11:35,B - Vert 7-126,Leonard Sussman,4.3
ART 3061,43590,OFA-LEC,Regular,Fr 09:55 - 12:50,B - Vert 7-130,Leonard Sussman,4.3
ART 3064,43591,JMWA-LEC,Regular,MoWe 12:25 - 14:05,B - Vert 7-160,Frances Antmann,No Rating
ART 3241,43594,MT-LEC,Regular,Tu 11:10 - 14:05,B - Vert 7-210,Gail Levin,2.46
ART 3260,54265,EMWA-LEC,Regular,MoWe 14:30 - 15:45,B - Vert 7-210,Karen Shelby,4.6
ART 3282,54267,CMWA-LEC,Regular,MoWe 10:45 - 12:00,B - Vert 7-210,Karen Shelby,4.6
ART 4900,43597,KMWA-LEC,Regular,MoWe 14:55 - 16:35,B - Vert 7-130,Thomas Lulevitch,No Rating
ART 4900,44531,WF-LEC,Regular,Fr 13:15 - 17:00,B - Vert 7-130,Suzanne Dell'Orto,4.7
ART 5000,80194,BER1-LEC,Regular,TBA,TBA,Terry Berkowitz,4.5
ART 5000,80197,BER3-LEC,Regular,TBA,TBA,Terry Berkowitz,4.5
ART 5000,80238,BR3-LEC,Regular,TBA,TBA,Terry Berkowitz,4.5
ART 5000,80447,MAC3-LEC,Regular,TBA,TBA,John Maciuika,4.35
ART 5000,80193,PAT1-LEC,Regular,TBA,TBA,Chun Wo Pat,3.1
ART 5000,80198,PAT3-LEC,Regular,TBA,TBA,Chun Wo Pat,3.1
ART 5000,80199,PT3-LEC,Regular,TBA,TBA,Chun Wo Pat,3.1
ART 5000,80195,SHE1-LEC,Regular,TBA,TBA,Zoe Sheehan,3.2
ART 5001,80200,SHE1-LEC,Regular,TBA,TBA,Zoe Sheehan,3.2
ART 5001,80201,SHE3-LEC,Regular,TBA,TBA,Zoe Sheehan,3.2
ART 5001,80263,SUS1-LEC,Regular,TBA,TBA,Leonard Sussman,4.3
ART 5010,43603,BEHA-LEC,Regular,TBA,TBA,Staff,No Rating
ART 5010,43604,BERK-LEC,Regular,TBA,TBA,Terry Berkowitz,4.5
ART 5010,43606,PAT-LEC,Regular,TBA,TBA,Chun Wo Pat,3.1
ART 5010,43607,SHEE-LEC,Regular,TBA,TBA,Zoe Sheehan,3.2
ART 5011,43609,BEHA-LEC,Regular,TBA,TBA,Staff,No Rating
ART 5011,43610,BERK-LEC,Regular,TBA,TBA,Terry Berkowitz,4.5
ART 5011,43611,PAT-LEC,Regular,TBA,TBA,Chun Wo Pat,3.1
ART 5011,43612,SHEE-LEC,Regular,TBA,TBA,Zoe Sheehan,3.2
BIO 1003,43341,STR-LEC,Regular,TuTh 17:40 - 18:30,A - 17 Lex 611,Rebecca Spokony,5.0
BIO 1003,43342,STRA-LAB,Regular,TuTh 18:40 - 20:20,A - 17 Lex 503,Miranda Gonzalez,5.0
BIO 1005,43366,GTRA-LAB,Regular,TuTh 09:55 - 11:35,A - 17 Lex 1002,Mary Egan,No Rating
BIO 1005,43368,GTRB-LAB,Regular,TuTh 09:55 - 11:35,A - 17 Lex 1004,William Merdian,No Rating
BIO 1005,43365,GTRL-LEC,Regular,TuTh 08:40 - 09:30,A - 17 Lex 1220,Mary Egan,No Rating
BIO 1011L,78342,GTRC-REC,Regular,Tu 12:20 - 12:45,A - 17 Lex 1004,Karen Rogowski,No Rating
BIO 1011L,78341,GTRL-LEC,Regular,TuTh 08:40 - 09:30,TBA,Mary Egan,No Rating
BIO 1011L,43446,STRA-REC,Regular,TuTh 15:10 - 15:35,A - 17 Lex 1002,Joel Brind,3.5
BIO 1011L,43448,STRB-REC,Regular,TuTh 15:10 - 15:35,A - 17 Lex 1004,Stephen Madamba,No Rating
BIO 1011L,43450,STRC-REC,Regular,TuTh 18:40 - 19:05,A - 17 Lex 1002,Joel Brind,3.5
BIO 1011L,54123,STRD-REC,Regular,TuTh 18:40 - 19:05,A - 17 Lex 1004,Kim Macklin,4.3
BIO 1011L,43451,STRX-REC,Regular,Tu 18:40 - 19:30,A - 17 Lex 1003,Jennifer Lane,No Rating
BIO 1012,78190,DFAX-LAB,Regular,Fr 12:50 - 15:20,A - 17 Lex 1004,Karen Rogowski,No Rating
BIO 1012,78340,GTRC-LAB,Regular,Tu 12:55 - 14:10,A - 17 Lex 1004,Karen Rogowski,No Rating
BIO 1012,43462,SMWX-LAB,Regular,MoWe 17:40 - 18:55,A - 17 Lex 1004,Pablo Peixoto,3.7
BIO 1012,43453,STRA-LAB,Regular,TuTh 15:45 - 17:00,A - 17 Lex 1002,Joel Brind,3.5
BIO 1012,43460,STRB-LAB,Regular,TuTh 15:45 - 17:00,A - 17 Lex 1004,Stephen Madamba,No Rating
BIO 1012,43461,STRC-LAB,Regular,TuTh 19:15 - 20:30,A - 17 Lex 1002,Joel Brind,3.5
BIO 1012,54126,STRD-LAB,Regular,TuTh 19:15 - 20:30,A - 17 Lex 1004,Kim Macklin,4.3
BIO 1015L,78377,DMWA-REC,Regular,MoWe 10:45 - 11:10,A - 17 Lex 503,Jennifer Lane,No Rating
BIO 1015L,78376,DMWL-LEC,Regular,MoWe 13:15 - 14:05,A - 17 Lex 611,Jennifer Lane,No Rating
BIO 1015L,43320,SMWA-REC,Regular,MoWe 15:35 - 16:00,A - 17 Lex 503,Adham Alifarag,No Rating
BIO 1015L,43321,SMWB-REC,Regular,MoWe 15:35 - 16:00,A - 17 Lex 511,Helene Barbour,3.0
BIO 1015L,43323,SMWC-REC,Regular,MoWe 18:40 - 19:05,A - 17 Lex 503,Helene Barbour,3.0
BIO 1015L,43318,SMWL-LEC,Regular,MoWe 17:40 - 18:30,A - 17 Lex 5SO,Krista Dobi,No Rating
BIO 1015L,43325,SMWX-REC,Regular,Mo 16:10 - 17:00,A - 17 Lex 505,Miranda Gonzalez,5.0
BIO 1016,78379,DMWA-LAB,Regular,MoWe 11:20 - 12:35,A - 17 Lex 503,Jennifer Lane,No Rating
BIO 1016,43327,SMWA-LAB,Regular,MoWe 16:10 - 17:25,A - 17 Lex 503,Adham Alifarag,No Rating
BIO 1016,43329,SMWB-LAB,Regular,MoWe 16:10 - 17:25,A - 17 Lex 511,Helene Barbour,3.0
BIO 1016,43330,SMWC-LAB,Regular,MoWe 19:15 - 20:30,A - 17 Lex 503,Helene Barbour,3.0
BIO 1016,43331,SMWX-LAB,Regular,MoWe 19:00 - 20:15,A - 17 Lex 511,Miranda Gonzalez,5.0
BIO 2010,43557,GMWA-LAB,Regular,MoWe 09:55 - 11:35,A - 17 Lex 1004,Emil Gernert,4.3
